Name,Scientific Name,Weight(kg),Height(cm),Conservation Status,Commonly Found,Food Habit,Average age
Macaque,(Macaca spp.),12,56,Common,Asia,Omnivores,25
Baboon ,(Papio spp.),27,85,Common,Africa,Omnivores,25
Tamarin ,(Saguinus spp.),0.5,28,Common,North America,Omnivores,15
Marmoset ,(Callithrix spp.),0.9,14,Common,South America,Omnivores,15
Capuchin ,(Cebus spp.),2.55,43,Common,South America,Omnivores,30
Squirrel Monkey ,(Saimiri spp.),0.9,30,Common,Amazon,Omnivores,17.5
Langur ,(Presbytis spp.),14.5,65,Common,South Asia,Herbivorous,29
Colobus ,(Colobus spp.),9,75,Common,Africa,Herbivorous,20
Gibbon ,(Hylobatidae family),9,53,Common,South Asia,Omnivores,25
Howler Monkey ,(Alouatta spp.),9,74,Common,South America,Omnivores,17
Spider Monkey ,(Ateles spp.),7,38,Common,South America,Omnivores,22
Mandrill ,(Mandrillus sphinx),35,92,Common,Africa,Omnivores,20
Japanese Macaque,(Macaca fuscata),10,54.5,Common,Japan,Omnivores,6
Pygmy Marmoset ,(Cebuella pygmaea),0.8,14,Common,South America,Omnivores,15
Golden Lion Tamarin,(Leontopithecus rosalia),10,20,Endangered,South America,Omnivores,15
Barbary Macaque,(Macaca sylvanus),12.5,59,Endangered,Atlas Mountains,Omnivores,30
Rhesus Macaque ,(Macaca mulatta),8.1,53.34,Common,Asia,Omnivores,4
Vervet Monkey,(Chlorocebus pygerythrus),4,51,Common,East Africa,Omnivores,30
Gelada Baboon,(Theropithecus gelada),16,62,Common,Ethopia,Omnivores,17
Black-and-white Colobus,(Colobus guereza),9,75,Common,Africa,Herbivorous,20
Proboscis Monkey ,(Nasalis larvatus),14,64.5,Common,Borneo,Omnivore,15
Grey Langur,(Semnopithecus spp.),10,61.5,Common,Asia,Herbivorous,24
Saki Monkey ,(Pithecia spp.),2,40,Common,South America,Frugivorous,15
Bonnet Macaque,(Macaca radiata),5,60,Common,South India,Omnivores,30
Red-tailed Monkey ,(Cercopithecus ascanius),3.6,45.72,Common,East-Central Africa,Fructivorous,28
Patas Monkey,(Erythrocebus patas),12.5,60,Common,Africa,Omnivorous ,20
De Brazza's Monkey,(Cercopithecus neglectus),5.5,51.5,Common,Central Africa,Omnivorous ,26
Owl Monkey,(Aotus spp.),1.3,13.5,Common,North America,Frugivorous,20
Celebes Macaque,(Macaca nigra),7,52.5,Common,Indonesia,Frugivorous,19
Lion-tailed Macaque ,(Macaca silenus),6.5,50.5,Common,South India,Omnivores,29
Indri ,(Indri indri),7.8,68,Common,Madagascar,Herbivorous,19
Aye-aye ,(Daubentonia madagascariensis),2.5,35.5,Common,Madagascar,Carnivourous,23
Golden Snub-nosed Monkey,(Rhinopithecus roxellana),22.75,66.5,Vulnerable,Southwestern China,Herbivorous,26
Pygmy Slow Loris ,(Nycticebus pygmaeus),0.47,21,Common,Asia,Omnivores,20
Woolly Monkey ,(Lagothrix spp.),8.16466,48.768,Common,Amazon,Herbivorous,30
Geoffroy's Spider Monkey ,(Ateles geoffroyi),7.484,57.912,Common,Mexico,Frugivorous,40
Moustached Tamarin ,(Saguinus mystax),0.51,61,Common,South America,Omnivores,20
Emperor Tamarin,(Saguinus imperator),0.56,24.5,Common,Amazon,Omnivores,20
