Image,Name,Scientific Name,Weight(KG),Height(CM),Conservation Status,Habitat,Diet,Age
augimg/Papio spp/aimage89.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nomascus hainanus/bimage99.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus oedipus/bimage71.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus mona/ximage67.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca spp/bimage93.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/Gibbon-que-come-donde-vive-caracteristicas-y-curiosidades.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca fuscata/aimage9.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus poliocephalus/yimage12.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles marginatus/dimage34.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus delacouri/zimage3.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus spp/cimage44.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus mystax/yimage21.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Theropithecus gelada/aimage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/zimages86.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus mona/bimage68.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Brachyteles hypoxanthus/zimage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nasalis larvatus/image76.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Propithecus perrieri/cimage19.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Gorilla beringei beringei/zimage5.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles fusciceps/ximage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles marginatus/image72.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles geoffroyi/aimage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/orgi-image84.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Callithrix spp/cimage29.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles spp/image63.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
